Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
9979,0.05,7200,1000,927,352
9888,0.05,7200,1000,375,154
9787,0.05,7200,1000,300,93
9694,0.05,7200,1000,440,164
9691,0.05,7200,1000,128,50
967,0.05,7200,1000,411,133
9660,0.05,7200,1000,997,356
9642,0.05,7200,1000,590,211
9623,0.05,7200,1000,351,139
9509,0.05,7200,1000,741,267
9473,0.05,7200,1000,37,16
947,0.05,7200,1000,787,268
9456,0.05,7200,1000,724,265
9432,0.05,7200,1000,604,205
9414,0.05,7200,1000,859,331
9413,0.05,7200,1000,469,182
9410,0.05,7200,1000,924,302
9402,0.05,7200,1000,93,38
937,0.05,7200,1000,827,301
935,0.05,7200,1000,916,329
9350,0.05,7200,1000,151,46
9140,0.05,7200,1000,630,205
913,0.05,7200,1000,356,135
9130,0.05,7200,1000,52,13
9124,0.05,7200,1000,525,192
9119,0.05,7200,1000,55,21
9099,0.05,7200,1000,866,325
9097,0.05,7200,1000,407,142
9033,0.05,7200,1000,772,271
9002,0.05,7200,1000,629,229
8994,0.05,7200,1000,240,90
8974,0.05,7200,1000,539,181
8964,0.05,7200,1000,216,69
8931,0.05,7200,1000,746,275
8904,0.05,7200,1000,674,266
8865,0.05,7200,1000,390,158
8849,0.05,7200,1000,798,277
8796,0.05,7200,1000,649,222
8763,0.05,7200,1000,41,12
8753,0.05,7200,1000,946,346
8736,0.05,7200,1000,135,59
8709,0.05,7200,1000,494,172
8703,0.05,7200,1000,383,130
87,0.05,7200,1000,907,350
8695,0.05,7200,1000,808,279
8633,0.05,7200,1000,518,200
8524,0.05,7200,1000,281,81
8445,0.05,7200,1000,644,217
8437,0.05,7200,1000,910,293
8422,0.05,7200,1000,773,262
8410,0.05,7200,1000,135,60
8404,0.05,7200,1000,438,143
8360,0.05,7200,1000,832,287
8330,0.05,7200,1000,383,143
83,0.05,7200,1000,673,274
8292,0.05,7200,1000,858,328
8288,0.05,7200,1000,461,177
8286,0.05,7200,1000,488,193
8242,0.05,7200,1000,235,99
8172,0.05,7200,1000,572,208
8150,0.05,7200,1000,347,131
8138,0.05,7200,1000,655,240
8103,0.05,7200,1000,662,251
8098,0.05,7200,1000,189,74
8091,0.05,7200,1000,135,49
8078,0.05,7200,1000,240,86
8056,0.05,7200,1000,947,361
8032,0.05,7200,1000,837,280
8023,0.05,7200,1000,680,244
8000,0.05,7200,1000,97,39
7974,0.05,7200,1000,281,107
7947,0.05,7200,1000,992,352
7923,0.05,7200,1000,44,14
7888,0.05,7200,1000,900,345
7844,0.05,7200,1000,628,234
7826,0.05,7200,1000,857,295
7806,0.05,7200,1000,453,200
7788,0.05,7200,1000,356,134
7756,0.05,7200,1000,880,331
7708,0.05,7200,1000,352,133
7693,0.05,7200,1000,141,51
7673,0.05,7200,1000,370,118
7652,0.05,7200,1000,430,151
7613,0.05,7200,1000,851,299
7457,0.05,7200,1000,971,331
7387,0.05,7200,1000,788,314
738,0.05,7200,1000,233,100
7377,0.05,7200,1000,202,66
7331,0.05,7200,1000,838,282
7328,0.05,7200,1000,390,146
7305,0.05,7200,1000,178,55
7272,0.05,7200,1000,339,121
7236,0.05,7200,1000,702,225
7202,0.05,7200,1000,856,327
7191,0.05,7200,1000,993,337
7132,0.05,7200,1000,947,326
7064,0.05,7200,1000,332,134
7044,0.05,7200,1000,573,214
7020,0.05,7200,1000,973,361
7019,0.05,7200,1000,469,190
6972,0.05,7200,1000,532,207
6960,0.05,7200,1000,748,268
6892,0.05,7200,1000,133,48
6889,0.05,7200,1000,837,318
6886,0.05,7200,1000,80,33
6882,0.05,7200,1000,814,259
686,0.05,7200,1000,441,167
6852,0.05,7200,1000,164,49
6807,0.05,7200,1000,807,305
6754,0.05,7200,1000,693,240
6753,0.05,7200,1000,784,298
6740,0.05,7200,1000,10,8
6648,0.05,7200,1000,374,126
6596,0.05,7200,1000,341,121
6577,0.05,7200,1000,167,75
656,0.05,7200,1000,747,261
6550,0.05,7200,1000,812,304
6517,0.05,7200,1000,655,230
6501,0.05,7200,1000,65,30
6470,0.05,7200,1000,559,195
6422,0.05,7200,1000,437,171
6418,0.05,7200,1000,763,271
6389,0.05,7200,1000,951,355
6379,0.05,7200,1000,904,334
6375,0.05,7200,1000,310,109
6306,0.05,7200,1000,123,43
6305,0.05,7200,1000,215,84
6283,0.05,7200,1000,295,122
6265,0.05,7200,1000,213,76
619,0.05,7200,1000,23,7
6096,0.05,7200,1000,249,81
6072,0.05,7200,1000,727,241
6037,0.05,7200,1000,435,137
5982,0.05,7200,1000,556,211
5927,0.05,7200,1000,118,53
5901,0.05,7200,1000,910,330
5755,0.05,7200,1000,630,241
5747,0.05,7200,1000,959,325
5728,0.05,7200,1000,755,247
5727,0.05,7200,1000,760,292
5715,0.05,7200,1000,739,259
5698,0.05,7200,1000,519,191
5664,0.05,7200,1000,785,332
5662,0.05,7200,1000,596,209
5659,0.05,7200,1000,414,174
5653,0.05,7200,1000,669,237
5564,0.05,7200,1000,629,213
549,0.05,7200,1000,315,111
544,0.05,7200,1000,482,200
5431,0.05,7200,1000,134,49
5346,0.05,7200,1000,884,333
5300,0.05,7200,1000,470,178
5284,0.05,7200,1000,306,116
527,0.05,7200,1000,118,37
5257,0.05,7200,1000,772,285
5256,0.05,7200,1000,332,126
5250,0.05,7200,1000,195,79
5200,0.05,7200,1000,153,49
5169,0.05,7200,1000,671,220
5146,0.05,7200,1000,447,135
5136,0.05,7200,1000,760,274
5132,0.05,7200,1000,697,251
5054,0.05,7200,1000,157,55
5018,0.05,7200,1000,158,62
5004,0.05,7200,1000,670,252
4982,0.05,7200,1000,734,261
4919,0.05,7200,1000,145,54
490,0.05,7200,1000,656,235
4893,0.05,7200,1000,174,60
4874,0.05,7200,1000,23,10
487,0.05,7200,1000,64,27
4847,0.05,7200,1000,214,56
4809,0.05,7200,1000,499,184
4807,0.05,7200,1000,611,224
4751,0.05,7200,1000,393,147
474,0.05,7200,1000,555,210
4721,0.05,7200,1000,855,282
4694,0.05,7200,1000,365,134
4670,0.05,7200,1000,454,177
4665,0.05,7200,1000,26,8
4589,0.05,7200,1000,360,132
4571,0.05,7200,1000,606,233
4557,0.05,7200,1000,7,1
4477,0.05,7200,1000,424,153
4424,0.05,7200,1000,9,4
4420,0.05,7200,1000,131,43
4395,0.05,7200,1000,736,279
4392,0.05,7200,1000,462,157
4289,0.05,7200,1000,801,283
426,0.05,7200,1000,564,199
4245,0.05,7200,1000,623,252
4226,0.05,7200,1000,716,273
4216,0.05,7200,1000,60,18
4186,0.05,7200,1000,535,197
4157,0.05,7200,1000,918,325
4130,0.05,7200,1000,569,220
4092,0.05,7200,1000,478,163
405,0.05,7200,1000,152,40
4031,0.05,7200,1000,640,232
3988,0.05,7200,1000,773,282
3894,0.05,7200,1000,22,8
3864,0.05,7200,1000,158,57
3857,0.05,7200,1000,8,3
383,0.05,7200,1000,475,165
3814,0.05,7200,1000,723,257
3798,0.05,7200,1000,965,335
3739,0.05,7200,1000,421,144
3617,0.05,7200,1000,816,278
354,0.05,7200,1000,407,134
3474,0.05,7200,1000,336,131
3384,0.05,7200,1000,389,124
3340,0.05,7200,1000,917,320
3335,0.05,7200,1000,948,321
3293,0.05,7200,1000,948,331
3285,0.05,7200,1000,461,177
3277,0.05,7200,1000,694,270
3274,0.05,7200,1000,379,159
32737,0.05,7200,1000,81,29
32674,0.05,7200,1000,834,311
32672,0.05,7200,1000,350,123
32659,0.05,7200,1000,469,169
3261,0.05,7200,1000,932,304
32608,0.05,7200,1000,132,59
32558,0.05,7200,1000,801,277
32527,0.05,7200,1000,266,91
32506,0.05,7200,1000,163,59
32488,0.05,7200,1000,663,235
32462,0.05,7200,1000,234,89
3244,0.05,7200,1000,216,76
32427,0.05,7200,1000,284,103
32384,0.05,7200,1000,53,17
32378,0.05,7200,1000,698,248
32376,0.05,7200,1000,647,228
32355,0.05,7200,1000,967,358
32320,0.05,7200,1000,191,74
32311,0.05,7200,1000,299,95
32309,0.05,7200,1000,110,37
32294,0.05,7200,1000,857,312
32276,0.05,7200,1000,21,10
32226,0.05,7200,1000,559,188
32204,0.05,7200,1000,328,108
32198,0.05,7200,1000,566,238
3218,0.05,7200,1000,487,189
3216,0.05,7200,1000,88,27
32135,0.05,7200,1000,191,53
