Boost,Seed,At Slot,Blocks,Slots,From Weight,To Weight
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,107,1,2,26,27
0.000,14191,112,1,4,28,29
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,138,1,1,34,35
0.000,14191,107,1,2,26,27
0.000,14191,24,1,7,3,4
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,24,1,7,3,4
0.000,14191,138,1,1,34,35
0.000,14191,107,1,2,26,27
0.000,14191,24,1,7,3,4
0.000,14191,107,1,2,26,27
0.000,14191,337,1,2,83,84
0.000,14191,107,1,2,26,27
0.000,14191,24,1,7,3,4
0.000,14191,337,1,2,83,84
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,115,1,6,29,30
0.000,14191,115,1,6,29,30
0.000,14191,107,1,2,26,27
0.000,14191,61,1,4,11,12
0.000,14191,24,1,7,3,4
0.000,14191,138,1,1,34,35
0.000,14191,61,1,4,11,12
0.000,14191,115,1,6,29,30
0.000,14191,115,1,6,29,30
0.000,14191,61,1,4,11,12
0.000,14191,138,1,1,34,35
0.000,14191,138,1,1,34,35
0.000,14191,24,1,7,3,4
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,115,1,6,29,30
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,107,1,2,26,27
0.000,14191,61,1,4,11,12
0.000,14191,107,1,2,26,27
0.000,14191,112,1,4,28,29
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,61,1,4,11,12
0.000,14191,115,1,6,29,30
0.000,14191,115,1,6,29,30
0.000,14191,24,1,7,3,4
0.000,14191,61,1,4,11,12
0.000,14191,115,1,6,29,30
0.000,14191,112,1,4,28,29
0.000,14191,115,1,6,29,30
0.000,14191,61,1,4,11,12
0.000,14191,138,1,1,34,35
0.000,14191,107,1,2,26,27
0.000,14191,107,1,2,26,27
0.000,14191,24,1,7,3,4
0.000,14191,138,1,1,34,35
0.000,14191,115,1,6,29,30
0.000,14191,115,1,6,29,30
0.000,14191,24,1,7,3,4
0.000,14191,61,1,4,11,12
0.000,14191,138,1,1,34,35
0.000,14191,115,1,6,29,30
0.000,14191,138,1,1,34,35
